,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Parking.lot,business_id,attributes.Good For.brunch,categories,attributes.Waiter Service,name,attributes.Parking.street,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,review_count,state,attributes.Accepts Credit Cards,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,attributes.Good For.dessert,attributes.Takes Reservations,attributes.Delivery,open,city,stars,type,latitude,attributes.Good For.dinner,longitude,attributes.Good for Kids,attributes.Parking.validated,attributes.Attire,attributes.Good For Groups,neighborhoods
19,False,True,full_bar,False,IceZ4BtTz76eppjNWm-c6A,False,"['Greek', 'Mediterranean', 'Restaurants']",True,Paisley Violin,True,1.0,False,False,59,AZ,True,True,False,True,"1030 NW Grand Ave
Phoenix, AZ 85007",False,True,True,False,Phoenix,3.5,business,33.4547647,True,-112.0865171,False,False,casual,True,[]
20,False,False,none,False,QsvRjgQacMMFf8dit7qqDw,False,"['Chinese', 'Restaurants']",True,New Garden Restaurant,False,2.0,False,False,18,AZ,True,False,False,True,"823 S Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,4.0,business,33.439268,False,-112.073481,True,False,casual,True,[]
21,,,,,LXhL5X3edNRy7epku6UAEw,,"['Bakeries', 'Food', 'Breakfast & Brunch', 'Restaurants']",,Paradise Bakery,,,,,7,AZ,,,,,"3 S 2nd St
Ste 205
Phoenix, AZ 85004",,,,False,Phoenix,4.0,business,33.4470733,,-112.0709775,,,,,[]
22,False,True,full_bar,False,-lOSaCuBRAvX5JBifx-EMw,False,"['Mexican', 'Restaurants']",True,Mi Amigo's Mexican Grill,False,2.0,False,True,129,AZ,True,True,False,True,"455 N 3rd St
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.0,business,33.4521542,False,-112.0686202,True,False,casual,True,[]
23,False,True,none,False,XI-_Y2XRw03mozGx0Z90Gw,False,"['Mexican', 'Restaurants']",False,Baja Fresh Mexican Grill,True,1.0,False,False,21,AZ,True,True,False,True,"50 N Central Ave
Phoenix, AZ 85004",False,False,False,False,Phoenix,3.5,business,33.4487514,False,-112.0738147,True,False,casual,True,[]
24,False,True,full_bar,False,qsWxbgQwuomXvMseg23DGg,False,"['Bars', 'American (Traditional)', 'Sports Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']",True,Hooters,False,2.0,False,True,113,AZ,True,True,False,True,"455 N 3rd
190 Arizona Center
Phoenix, AZ 85004",False,False,False,True,Phoenix,2.5,business,33.4523351,False,-112.0696144,False,False,casual,True,[]
25,False,False,full_bar,True,DlCtdbceo4YNSI53cCL2lg,False,"['Restaurants', 'Italian']",True,The Old Spaghetti Factory,False,2.0,False,False,275,AZ,True,False,False,True,"1418 N Central Ave
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.0,business,33.46425,True,-112.074153,True,False,casual,True,[]
26,False,True,none,False,kR5i58Pcse1FD9tk-yYLlA,False,"['Event Planning & Services', 'Caterers', 'Sandwiches', 'Restaurants']",False,Crave Sandwich Cafe & Catering,True,1.0,False,False,25,AZ,True,True,False,True,"541 E Van Buren St
Phoenix, AZ 85004",False,False,True,True,Phoenix,3.5,business,33.450875,False,-112.066333,True,False,casual,True,[]
27,False,True,full_bar,False,2I666dqzs1XB6xigIKa9bA,False,"['American (Traditional)', 'Restaurants']",True,Tom's Tavern & 1929 Grill,True,2.0,False,True,78,AZ,True,True,False,True,"2 N Central Ave
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.0,business,33.448424817,False,-112.074802052,False,False,casual,True,[]
28,False,False,none,False,yExYqENb4F6qH6kJxTOaSQ,False,"['Delis', 'Restaurants']",False,Karim's Cobbler Shop & Deli,False,1.0,False,True,19,AZ,True,True,False,True,"333 E Jefferson St
Ste 102
Phoenix, AZ 85004",False,False,,False,Phoenix,3.5,business,33.4458023,False,-112.0691069,True,False,casual,True,[]
29,False,True,none,False,9BH18avE46LlHMvJn67MaA,False,"['Breakfast & Brunch', 'Delis', 'Sandwiches', 'Restaurants']",False,The Downtown Deli,True,1.0,False,False,57,AZ,True,True,False,True,"130 N Central Ave
Phoenix, AZ 85004",False,False,True,False,Phoenix,4.0,business,33.4499524,False,-112.0740511,True,False,casual,True,[]
30,False,True,none,True,trAvQPp7gps0Btk-2AmLpw,False,"['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']",False,Zoes Kitchen,False,1.0,False,False,127,AZ,True,True,False,True,"521 W McDowell Rd
Phoenix, AZ 85003",False,False,False,True,Phoenix,3.5,business,33.465499,False,-112.081565,True,False,casual,True,[]
31,,False,,,VCQ3VvnVRhibTT8J61xWkw,,"['Fast Food', 'Restaurants']",,Jack in the Box,,,,,5,AZ,True,,,True,"620 E Buckeye Rd
Phoenix, AZ 85004",,False,False,True,Phoenix,2.0,business,33.4372015,,-112.0656044,True,,casual,True,[]
32,False,True,,,s6zzKc7UvwDRxn-BFlhiTg,False,"['Fast Food', 'Sandwiches', 'Restaurants']",False,Subway,,1.0,False,,6,AZ,True,False,,True,"455 N 3rd St
Phoenix, AZ 85004",False,False,False,True,Phoenix,2.5,business,33.4521542,False,-112.0686202,True,,casual,True,[]
33,False,,full_bar,True,4WcxnNv_lzCIG2eb8O5Mlg,False,"['Arts & Entertainment', 'American (Traditional)', 'Nightlife', 'Music Venues', 'Restaurants']",,The Brickhouse,True,2.0,False,False,7,AZ,True,False,False,,"1 E Jackson St
Phoenix, AZ 85004",False,,,False,Phoenix,3.5,business,33.44455,False,-112.073577,False,False,casual,True,[]
34,False,True,full_bar,False,gkv2XvXpFgiq4Bb2XK7YmQ,False,"['Arts & Entertainment', 'Music Venues', 'Burgers', 'Nightlife', 'American (New)', 'Restaurants']",True,Hard Rock Café,True,2.0,False,False,124,AZ,True,False,False,True,"3 S. 2nd Street
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.0,business,33.4468850573,True,-112.071075886,True,False,casual,True,[]
35,False,True,none,False,If2DUhmWIvlu2JFc_rR-Bw,False,"['Italian', 'Pizza', 'Sandwiches', 'Restaurants']",False,Papa Christo's,True,1.0,False,False,26,AZ,True,True,False,True,"2 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,3.5,business,33.4484911,False,-112.0744277,True,False,casual,True,[]
36,False,False,none,True,xH5axHFadmc7Veutt376TA,False,"['Burgers', 'Fast Food', 'Restaurants']",False,McDonald's,False,1.0,False,False,20,AZ,True,False,False,True,"545 E Mcdowell Rd
Phoenix, AZ 85004",False,False,False,True,Phoenix,1.5,business,33.4653345,False,-112.0655975,True,False,casual,True,[]
37,False,False,none,False,Vvh2Hd4SsZjEEfKLNKAEWw,False,"['Fast Food', 'Sandwiches', 'Restaurants']",False,Subway,False,,False,False,12,AZ,True,True,False,True,"2817 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,4.0,business,33.479418,False,-112.0732961,True,False,casual,True,[]
38,False,False,none,False,sInUSy63Oh455uWs9p9OqQ,False,"['Cafes', 'Restaurants']",False,Central Cafe,False,1.0,False,False,7,AZ,True,False,False,True,"2600 N Central Ave
Phoenix, AZ 85004",False,False,True,True,Phoenix,4.5,business,33.4771144,False,-112.0744197,True,False,casual,True,[]
39,,,,,x8WoC_7WHzXNmt6J13Nbvw,,"['Mexican', 'Restaurants']",False,Jordan's Mexican Food,,1.0,,,4,AZ,False,,,,"2633 N Central Ave
Phoenix, AZ 85004",,,,False,Phoenix,2.0,business,33.477594,,-112.072914,False,,,True,[]
40,False,True,beer_and_wine,False,wki-Qlp3OWgH0XtZ-Jz_WQ,False,"['Delis', 'Sandwiches', 'Restaurants']",False,Duck & Decanter,True,1.0,False,True,50,AZ,True,True,False,True,"1 N Central Ave
Phoenix, AZ 85004",False,False,True,True,Phoenix,4.0,business,33.4483756752,False,-112.072706876,True,True,casual,True,[]
41,False,True,none,True,OoHWabV-ym7_HWlHeXTsVA,False,"['Cheesesteaks', 'Sandwiches', 'Restaurants']",False,Best of Philly,False,1.0,False,False,65,AZ,True,True,False,True,"2818 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,3.5,business,33.4794824,False,-112.0740962,True,False,casual,True,[]
42,False,False,beer_and_wine,True,oSKT5oZX1NWYaHwOWL5lag,False,"['Sushi Bars', 'Japanese', 'Restaurants']",True,Ichi Ban Japanese Restaurant & Sushi,False,2.0,False,False,51,AZ,True,True,False,True,"2815 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,3.5,business,33.4794762,False,-112.0736809,True,False,casual,True,[]
43,False,False,none,True,QAe9UHKsxPdXQovBpaznMQ,False,"['Delis', 'Fast Food', 'Sandwiches', 'Restaurants']",False,Schlotzskys Deli,False,1.0,False,False,13,AZ,True,True,False,True,"2601 N Central Ave
Phoenix, AZ 85004",False,False,False,False,Phoenix,2.5,business,33.476644,False,-112.0736968,True,False,casual,False,[]
44,False,True,beer_and_wine,True,q1nDSpmV-FdTBNj6UuZvTg,False,"['Barbeque', 'Restaurants']",False,Honey Bear's BBQ,False,2.0,False,False,237,AZ,True,True,False,True,"2824 N Central Ave
Phoenix, AZ 85004",False,False,True,True,Phoenix,3.0,business,33.4796505,False,-112.0742162,True,False,casual,True,[]
45,False,True,full_bar,True,muCl5p-9ut1sY0aKeUeRhw,False,"['Wine Bars', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']",True,Cheuvront,False,2.0,False,False,187,AZ,True,False,False,True,"1326 N Central Ave
Phoenix, AZ 85004",False,True,False,False,Phoenix,3.5,business,33.4633319,True,-112.0741467,False,False,casual,True,[]
46,False,True,full_bar,False,oCA2OZcd_Jo_ggVmUx3WVw,False,"['Bars', 'Music Venues', 'Arts & Entertainment', 'Nightlife', 'Sports Bars', 'Barbeque', 'Restaurants']",True,Alice Cooper'stown,True,2.0,False,False,409,AZ,True,True,False,True,"101 E Jackson St
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.5,business,33.4448019849,True,-112.072117722,True,False,casual,True,[]
47,False,True,full_bar,True,eK6KGMKqU_4nB9RdayZD7Q,False,"['Mexican', 'Restaurants']",True,Tee Pee Tap Room,False,2.0,False,False,30,AZ,True,True,False,True,"602 E Lincoln St
Phoenix, AZ 85004",False,False,False,True,Phoenix,2.5,business,33.442472,False,-112.065825,False,False,casual,True,[]
48,,True,full_bar,,jn3OgTqiQIFymRA9U0PTfQ,,"['American (New)', 'Restaurants']",True,Arizona Baseball Club Restaurant,,2.0,,,8,AZ,True,,,False,"401 E Jefferson St
Phoenix, AZ 85004",,True,False,True,Phoenix,3.5,business,33.4453626,,-112.0674961,True,,casual,True,[]
49,False,True,full_bar,False,1-1VcGTL3GyCqUpXZLFTZA,False,"['American (Traditional)', 'Restaurants']",True,Friday's Front Row Sports Grill,True,2.0,False,True,104,AZ,True,False,False,True,"Chase Field
401 E Jefferson St
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.0,business,33.4453626,True,-112.0674961,True,False,casual,True,[]
50,False,True,none,True,odhXwWaYZvD_icIN6f_DbA,False,"['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']",False,Athenian Express,False,1.0,False,False,77,AZ,True,True,False,True,"814 N Central Ave
Phoenix, AZ 85004",False,False,True,False,Phoenix,3.5,business,33.4575099,False,-112.0741235,True,False,casual,True,[]
51,False,False,none,False,avPNEqlXgyBvTXjb-ujQFA,False,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",False,Pizza Hut,False,1.0,False,False,7,AZ,True,True,False,True,"2835 N 16th St.
#103
Phoenix, AZ 85006",False,True,True,True,Phoenix,2.0,business,33.4794961,True,-112.0469586,True,False,casual,True,[]
52,False,False,none,False,ldIxXmxD3Cku0vODGYb9dQ,False,"['Fast Food', 'Sandwiches', 'Restaurants']",False,Subway,False,1.0,False,False,7,AZ,True,False,False,True,"2835 N 16th St
Suite 5
Phoenix, AZ 85006",False,False,False,True,Phoenix,2.5,business,33.4794961,False,-112.0469586,True,False,casual,True,[]
53,False,False,full_bar,True,hWhVP-28LYP3llaMlAJ_JA,False,"['Mexican', 'Restaurants']",True,Rosita's Place,False,1.0,False,False,214,AZ,True,False,False,True,"2310 E Mcdowell Rd
Phoenix, AZ 85006",False,True,False,True,Phoenix,4.0,business,33.466086,True,-112.0323491,True,False,casual,True,[]
54,False,False,none,True,ixTr1qXUFGTzyaZUuCDDvg,False,"['Burgers', 'American (Traditional)', 'Fast Food', 'Restaurants']",False,Whataburger,False,1.0,False,False,31,AZ,True,True,False,True,"737 East McDowell Road
Phoenix, AZ 85006",False,False,False,True,Phoenix,3.0,business,33.4654334,False,-112.063548,True,False,casual,True,[]
55,False,True,none,True,ZoQAOnEFnyHjSpomtfqesA,False,"['Sandwiches', 'Restaurants']",False,That's A Wrap,False,1.0,False,False,84,AZ,True,True,False,True,"2022 N 7th St
Phoenix, AZ 85006",False,False,False,False,Phoenix,4.0,business,33.4701393,False,-112.0654347,True,False,casual,False,[]
56,False,False,beer_and_wine,True,apCfJVnRyaw6oVUBKujpUQ,False,"['Grocery', 'Mexican', 'Food', 'Ethnic Food', 'Specialty Food', 'Restaurants']",False,La Tolteca Mexican Foods,False,1.0,False,False,155,AZ,True,True,False,True,"1205 E Van Buren St
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.0,business,33.45107,False,-112.055957,True,False,casual,True,[]
57,False,False,beer_and_wine,True,ykfTh6HI219NoMsWBxulxw,False,"['Chinese', 'Restaurants']",True,Gourmet House Of Hong Kong,False,1.0,False,False,94,AZ,True,True,False,True,"1438 E McDowell Rd
Phoenix, AZ 85006",False,False,False,True,Phoenix,3.5,business,33.466043,False,-112.05026,True,False,casual,True,[]
58,False,True,full_bar,,McdTNj-TUMOlfkHwQWs4rg,False,"['Mexican', 'Restaurants']",,Tacos Mexico,,1.0,False,,3,AZ,True,False,,True,"2333 N 16th St
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.5,business,33.4737734,False,-112.04749,True,,casual,True,[]
59,False,True,full_bar,False,tb24fvNJfHhyKEXkKn12Xw,True,"['Nightlife', 'Bars', 'American (Traditional)', 'Diners', 'Restaurants']",True,Welcome Diner,True,2.0,False,False,434,AZ,True,False,False,True,"924 E Roosevelt St
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.5,business,33.4588421,False,-112.0609975,True,False,casual,True,[]
60,False,False,beer_and_wine,True,VXIkI9_EbDbYHeO9IzKjJg,False,"['Food', 'Grocery', 'Mexican', 'Restaurants']",False,Los Altos Ranch Market,False,1.0,False,False,145,AZ,True,True,False,True,"1602 E Roosevelt Rd
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.5,business,33.4599088,False,-112.04608,True,False,casual,True,[]
61,False,False,full_bar,True,VKxn7zmp8nOYT-ZHFZTjgA,False,"['Seafood', 'Fish & Chips', 'Mexican', 'Restaurants']",True,Mariscos Ensenada,False,2.0,False,False,29,AZ,True,False,False,True,"2019 N 16th St
Phoenix, AZ 85006",False,True,False,True,Phoenix,4.5,business,33.470153,True,-112.0474211,True,False,casual,True,[]
62,False,False,none,True,rbiRLiFTG098z9JaK3Nshw,False,"['Latin American', 'Salvadoran', 'Restaurants']",True,Guanaquito Restaurant,False,1.0,False,False,79,AZ,True,False,False,True,"1436 E McDowell Rd
Phoenix, AZ 85006",False,True,False,True,Phoenix,4.5,business,33.4659637,True,-112.0506694,True,False,casual,True,[]
63,False,False,beer_and_wine,True,cgNIBHS2mLdbTRiodAT6EQ,False,"['Mexican', 'Restaurants']",True,Tacos De Juarez,False,1.0,False,False,86,AZ,True,True,False,True,"1017 N 7th St
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.0,business,33.459347,False,-112.064755,True,False,casual,True,[]
64,False,False,beer_and_wine,True,SZvYxcvYYVRue9MXcEDjsA,False,"['Bakeries', 'Food', 'American (Traditional)', 'Restaurants']",True,Coco's Family Restaurant,False,1.0,True,False,48,AZ,True,False,False,True,"2026 N 7th St
Phoenix, AZ 85006",False,False,False,True,Phoenix,3.5,business,33.4708674,False,-112.0653819,True,False,casual,True,[]
65,False,True,full_bar,True,5-X03Zc0nN7U5eoe8uFUdw,False,"['American (New)', 'Restaurants']",True,Coronado Cafe,False,2.0,False,False,174,AZ,True,True,False,True,"2201 N 7th St
Phoenix, AZ 85006",False,True,True,False,Phoenix,4.0,business,33.4713,True,-112.064761,False,False,casual,False,[]
66,True,True,none,True,0De3TQ_uSOXwgduKL0va3w,False,"['Fast Food', 'Restaurants']",True,Sonic Drive-In,False,1.0,False,False,14,AZ,True,False,False,True,"748 E Mcdowell Rd
Phoenix, AZ 85006",False,False,False,True,Phoenix,3.5,business,33.4661987,False,-112.0632154,True,False,casual,True,[]
67,False,False,none,True,R6aazv8FB-6BeanY3ag8kw,False,"['American (Traditional)', 'Shopping', 'Comfort Food', 'Antiques', 'Restaurants']",True,MacAlpine's Soda Fountain,False,1.0,False,False,235,AZ,True,True,False,True,"2303 N 7th St
Phoenix, AZ 85006",False,True,False,True,Phoenix,3.5,business,33.473125,False,-112.0650914,True,False,casual,True,[]
68,False,True,none,False,Xo9Im4LmIhQrzJcO4R3ZbA,False,"['Mexican', 'Restaurants']",False,Rito's Market & Mexican Take Out,True,1.0,False,False,219,AZ,True,True,False,True,"907 N 14th St
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.5,business,33.4579361,False,-112.0520629,True,False,casual,False,[]
69,False,False,,,TNKr6FelsEqOHnatOgWhog,False,"['Burgers', 'Fast Food', 'Restaurants']",False,Wendy's,,1.0,False,,3,AZ,True,False,,True,"2346 E McDowell Rd
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.5,business,33.4660683,False,-112.0306582,True,,casual,True,[]
70,False,False,beer_and_wine,True,NYBx4sdSVrN-I5Q8RfLMPg,False,"['Seafood', 'Mexican', 'Restaurants']",True,San Carlos Bay Seafood Restaurant,False,2.0,False,False,42,AZ,True,True,False,True,"1901 E McDowell Rd
Phoenix, AZ 85006",False,False,False,True,Phoenix,4.0,business,33.4655407,False,-112.0409279,True,False,casual,True,[]
71,False,False,full_bar,True,Cp6JGY5YIRncTV_My9nf9g,False,"['Seafood', 'Mexican', 'Restaurants']",True,Mariscos Playa Hermosa,False,2.0,False,False,287,AZ,True,True,False,True,"1605 E Garfield St
Phoenix, AZ 85006",False,True,False,True,Phoenix,4.0,business,33.4575264,False,-112.0472803,True,False,casual,True,[]
72,,True,full_bar,False,04HakCR6gEeRYNAoKxkppQ,,"['Mexican', 'Restaurants']",True,Hacienda Restaurant,False,1.0,,False,4,AZ,True,,False,True,"1602 E Mcdowell Rd
Phoenix, AZ 85006",,False,,True,Phoenix,3.0,business,33.4660319,,-112.0473925,False,False,casual,True,[]
73,,True,none,,ITyAEjIw9ekv0wXpGHQF1Q,,"['Fast Food', 'Sandwiches', 'Restaurants']",,Subway,,1.0,,,6,AZ,True,,,True,"5024 E McDowell Rd
Phoenix, AZ 85008",,False,False,True,Phoenix,3.5,business,33.4658505,,-111.9730379,False,,casual,False,[]
74,False,False,none,True,q2SZa5g85758iW1L9sSL1g,False,"['Latin American', 'Salvadoran', 'Restaurants']",True,Eliana's Restaurant,False,1.0,False,False,60,AZ,True,True,False,True,"1627 N 24th St
Phoenix, AZ 85008",False,False,False,True,Phoenix,4.0,business,33.4668576,False,-112.0298525,True,False,casual,True,[]
75,False,True,none,True,po5FyERB4lUZNnBIwnhFlg,False,"['American (Traditional)', 'Fast Food', 'Restaurants']",True,Sonic Drive-In,False,1.0,False,False,27,AZ,True,True,False,True,"5002 E Mcdowell Rd
Phoenix, AZ 85008",False,False,False,True,Phoenix,3.0,business,33.4661343,False,-111.973718,True,False,casual,True,[]
76,False,False,none,False,I2IofjP2sHZUkv7pcoc33A,False,"['Burgers', 'Restaurants']",False,Burger King,False,2.0,False,False,6,AZ,True,False,False,True,"3164 E McDowell Rd
Phoenix, AZ 85008",False,False,False,True,Phoenix,3.0,business,33.466085,False,-112.013243,True,False,casual,True,[]
77,False,False,full_bar,True,_RBUU1y4yJrK0SPAd8z0-w,False,"['Indian', 'Buffets', 'Event Planning & Services', 'Venues & Event Spaces', 'Restaurants']",True,Indian Delhi Palace,True,2.0,False,False,188,AZ,True,True,False,True,"5104 E McDowell Rd
Phoenix, AZ 85008",False,True,False,True,Phoenix,3.5,business,33.4657562,True,-111.9718284,True,False,casual,True,[]
78,False,False,none,False,WyJuGTwFwoN0k8iX8FsqYw,False,"['Fast Food', 'Restaurants']",False,Jack-In-the Box Drive Thru,False,1.0,False,False,4,AZ,True,False,False,True,"1001 N 24th St
Phoenix, AZ 85008",False,False,False,True,Phoenix,3.0,business,33.458744,False,-112.029827,True,False,casual,True,[]
